08-08-2024 12:26:24: Training starting...
08-08-2024 12:26:26: New best reward 347772617.8 (-3577.7%) at episode 0, saving model...
08-08-2024 12:26:26: New best reward 349125278.8 (+0.4%) at episode 1, saving model...
08-08-2024 12:26:26: New best reward 349128125.6 (+0.0%) at episode 3, saving model...
08-08-2024 12:26:26: New best reward 349379429.7 (+0.1%) at episode 4, saving model...
08-08-2024 12:26:26: New best reward 349733861.6 (+0.1%) at episode 5, saving model...
08-08-2024 12:26:27: New best reward 351229674.3 (+0.4%) at episode 7, saving model...
08-08-2024 12:26:32: New best reward 351622715.8 (+0.1%) at episode 32, saving model...
08-08-2024 12:26:36: New best reward 351720910.6 (+0.0%) at episode 53, saving model...
08-08-2024 12:26:44: New best reward 351934200.7 (+0.1%) at episode 91, saving model...
08-08-2024 12:27:39: New best reward 352403076.4 (+0.1%) at episode 338, saving model...
08-08-2024 12:28:33: New best reward 352982731.0 (+0.2%) at episode 553, saving model...
08-08-2024 12:38:53: New best reward 353215856.9 (+0.1%) at episode 2796, saving model...
08-08-2024 12:44:31: New best reward 353374776.8 (+0.0%) at episode 3983, saving model...
08-08-2024 12:45:22: New best reward 353872357.5 (+0.1%) at episode 4158, saving model...
08-08-2024 12:48:38: New best reward 354344374.2 (+0.1%) at episode 4800, saving model...
